Team, Record, GP, G, A, P, Sh, Sh %, SOG, SOG %, CK, PKM, PKA, GA, Avg, S, S %
Des Moines North  ,  3 - 11 - 0  ,  14  ,  33  ,  12  ,  78  ,  88  ,  0.375  ,  75  ,  0.440  ,  22  ,  8  ,  9  ,  75  ,  5.566  ,  243  ,  0.764  
Boone  ,  4 - 15 - 0  ,  19  ,  10  ,  7  ,  27  ,  60  ,  0.167  ,  42  ,  0.238  ,  14  ,  1  ,  0  ,  0  ,  0.000  ,  304  ,  1.000  
Creston  ,  3 - 12 - 0  ,  15  ,  25  ,  12  ,  62  ,  149  ,  0.168  ,  138  ,  0.181  ,  44  ,  1  ,  8  ,  47  ,  3.813  ,  214  ,  0.820  
Underwood  ,  3 - 12 - 0  ,  15  ,  29  ,  23  ,  81  ,  151  ,  0.192  ,  124  ,  0.234  ,  31  ,  0  ,  1  ,  44  ,  3.826  ,  112  ,  0.718  
West Sioux  ,  3 - 12 - 0  ,  15  ,  9  ,  0  ,  18  ,  115  ,  0.078  ,  115  ,  0.078  ,  61  ,  0  ,  0  ,  56  ,  3.913  ,  277  ,  0.832  
Greene County  ,  3 - 13 - 0  ,  16  ,  11  ,  10  ,  32  ,  98  ,  0.112  ,  53  ,  0.208  ,  24  ,  0  ,  0  ,  168  ,  12.620  ,  211  ,  0.557  
Ottumwa  ,  3 - 13 - 0  ,  16  ,  31  ,  4  ,  66  ,  174  ,  0.178  ,  127  ,  0.244  ,  32  ,  4  ,  7  ,  86  ,  6.400  ,  200  ,  0.699  
Carroll  ,  3 - 14 - 0  ,  17  ,  13  ,  8  ,  34  ,  133  ,  0.098  ,  86  ,  0.151  ,  25  ,  0  ,  2  ,  96  ,  6.209  ,  237  ,  0.712  
Grinnell  ,  2 - 12 - 1  ,  15  ,  12  ,  7  ,  31  ,  96  ,  0.125  ,  54  ,  0.222  ,  23  ,  1  ,  1  ,  67  ,  5.057  ,  130  ,  0.660  
Des Moines Hoover  ,  2 - 10 - 0  ,  12  ,  17  ,  10  ,  44  ,  27  ,  0.630  ,  19  ,  0.895  ,  10  ,  2  ,  2  ,  78  ,  7.429  ,  123  ,  0.612  
Monticello  ,  2 - 10 - 0  ,  12  ,  5  ,  1  ,  11  ,  67  ,  0.075  ,  48  ,  0.104  ,  18  ,  0  ,  0  ,  60  ,  5.217  ,  159  ,  0.726  
West Branch  ,  2 - 10 - 0  ,  12  ,  23  ,  25  ,  71  ,  155  ,  0.148  ,  150  ,  0.153  ,  46  ,  0  ,  0  ,  56  ,  4.571  ,  201  ,  0.782  
Missouri Valley  ,  2 - 11 - 0  ,  13  ,  5  ,  2  ,  12  ,  80  ,  0.063  ,  20  ,  0.250  ,  17  ,  0  ,  0  ,  71  ,  6.201  ,  438  ,  0.861  
Webster City  ,  2 - 12 - 0  ,  14  ,  22  ,  10  ,  54  ,  93  ,  0.237  ,  67  ,  0.328  ,  17  ,  2  ,  5  ,  100  ,  8.630  ,  166  ,  0.624  
Grand View Christian  ,  2 - 13 - 0  ,  15  ,  19  ,  7  ,  45  ,  110  ,  0.173  ,  81  ,  0.235  ,  26  ,  0  ,  0  ,  112  ,  9.005  ,  255  ,  0.695  
West Liberty  ,  2 - 13 - 0  ,  15  ,  0  ,  0  ,  0  ,  9  ,  0.000  ,  3  ,  0.000  ,  0  ,  0  ,  0  ,  5  ,  4.444  ,  13  ,  0.722  
South Tama  ,  2 - 14 - 0  ,  16  ,  12  ,  3  ,  27  ,  119  ,  0.101  ,  52  ,  0.231  ,  18  ,  0  ,  0  ,  64  ,  4.499  ,  157  ,  0.710  
Davenport West  ,  2 - 16 - 0  ,  18  ,  6  ,  4  ,  16  ,  64  ,  0.094  ,  36  ,  0.167  ,  30  ,  0  ,  0  ,  104  ,  6.465  ,  332  ,  0.761  
Keokuk  ,  2 - 17 - 0  ,  19  ,  19  ,  3  ,  41  ,  96  ,  0.198  ,  37  ,  0.514  ,  46  ,  1  ,  2  ,  89  ,  4.684  ,  148  ,  0.624  
Northeast  ,  1 - 10 - 0  ,  11  ,  20  ,  14  ,  54  ,  119  ,  0.168  ,  74  ,  0.270  ,  31  ,  2  ,  11  ,  44  ,  4.246  ,  105  ,  0.705  
East Sac County  ,  1 - 11 - 0  ,  12  ,  6  ,  2  ,  14  ,  50  ,  0.120  ,  26  ,  0.231  ,  12  ,  0  ,  0  ,  72  ,  6.651  ,  126  ,  0.636  
Fort Dodge  ,  1 - 12 - 0  ,  13  ,  4  ,  3  ,  11  ,  13  ,  0.308  ,  9  ,  0.444  ,  5  ,  0  ,  0  ,  31  ,  31.000  ,  88  ,  0.739  
Marshalltown  ,  1 - 13 - 0  ,  14  ,  2  ,  1  ,  5  ,  38  ,  0.053  ,  33  ,  0.061  ,  20  ,  0  ,  0  ,  70  ,  5.744  ,  248  ,  0.780  
